,channelTitle,sum_video,sum_views,avg_views,avg_trend_days,sum_trend,avg_freq_trend
40,1LIVE Comedy,6,638919,106486.5,3.8333333333333335,23,3.8333333333333335
41,1Rod1ReelFishing,2,7825223,3912611.5,5.0,12,6.0
42,1idea Creation,1,2554556,2554556.0,5.0,8,8.0
43,1theK (원더케이),11,113986038,10362367.090909092,5.454545454545454,110,10.0
44,1theK Originals - 원더케이 오리지널,4,11430029,2857507.25,4.75,26,6.5
45,1upBinge,1,419022,419022.0,5.0,9,9.0
46,2 Bored Guys,9,1488072,165341.33333333334,4.222222222222222,38,4.222222222222222
47,2 Danny 2 Furious,19,20900999,1100052.5789473683,6.0,202,10.631578947368421
48,2 Left Thumbs,1,327744,327744.0,5.0,5,5.0
49,2020 Democratic National Convention,4,2925664,731416.0,4.25,17,4.25
50,20th Century Studios,18,50451177,2802843.1666666665,6.388888888888889,231,12.833333333333334
51,21 Savage,7,22508583,3215511.8571428573,6.142857142857143,85,12.142857142857142
52,212th - Tom & Taha,2,404609,202304.5,5.0,10,5.0
53,21SavageVEVO,1,1929360,1929360.0,7.0,7,7.0
54,22Gz,3,2310240,770080.0,5.666666666666667,17,5.666666666666667
55,23 ABC News | KERO,4,6064871,1516217.75,4.75,28,7.0
56,24 Frames Of Nick,2,1700500,850250.0,5.0,10,5.0
57,24 Heures du Mans,3,696323,232107.66666666666,5.0,27,9.0
58,24/7,6,1227065,204510.83333333334,4.833333333333333,29,4.833333333333333
59,24KGoldnVEVO,2,6001045,3000522.5,7.0,16,8.0
60,257ers Akk! TV,2,310926,155463.0,3.5,7,3.5
61,26mintv,7,654395,93485.0,5.714285714285714,40,5.714285714285714
62,2ARA RU,1,74608,74608.0,4.0,4,4.0
63,2Bough,19,2527102,133005.36842105264,4.315789473684211,87,4.578947368421052
64,2ChainzVEVO,3,3231238,1077079.3333333333,6.333333333333333,19,6.333333333333333
65,2EURO MUSIC,1,568420,568420.0,3.0,3,3.0
66,2HYPE,12,13024367,1085363.9166666667,5.416666666666667,66,5.5
67,2K,1,374380,374380.0,5.0,5,5.0
68,2KBABY,2,1769191,884595.5,5.0,10,5.0
69,2LADE,1,66787,66787.0,3.0,3,3.0
70,2Rare,1,2362814,2362814.0,7.0,12,12.0
71,2TONoffical,15,23613222,1574214.8,5.666666666666667,90,6.0
72,30deep grimeyy,2,1226738,613369.0,5.0,10,5.0
73,312Drive,1,13324016,13324016.0,3.0,3,3.0
74,321off,1,91668,91668.0,4.0,4,4.0
75,360juice,4,8990984,2247746.0,3.5,14,3.5
76,37 Grad,23,7764275,337577.17391304346,4.782608695652174,111,4.826086956521739
77,385idéal,48,12895070,268647.2916666667,5.3125,261,5.4375
78,394th District Court of Texas - Live Stream,1,10364460,10364460.0,10.0,18,18.0
79,3Blue1Brown,3,7160449,2386816.3333333335,6.0,38,12.666666666666666
80,3Bough,2,144956,72478.0,3.0,6,3.0
81,3C Films,2,1203231,601615.5,5.5,14,7.0
82,3FM,1,182394,182394.0,4.0,4,4.0
83,3PM,1,393492,393492.0,4.0,4,4.0
84,3thedward,1,66426,66426.0,3.0,3,3.0
85,4 News Now,1,252342,252342.0,4.0,4,4.0
86,4 Shooters Only,3,2265866,755288.6666666666,5.666666666666667,17,5.666666666666667
87,42 dugg Music,3,4254842,1418280.6666666667,5.333333333333333,16,5.333333333333333
88,42DuggVEVO,12,19775463,1647955.25,5.75,87,7.25
89,43 TV,5,2755461,551092.2,6.0,30,6.0
90,442oons,18,20126734,1118151.888888889,4.666666666666667,105,5.833333333333333
91,44Teeth,1,130344,130344.0,5.0,5,5.0
92,473 Music,1,1142532,1142532.0,5.0,5,5.0
93,48 Hours,1,354072,354072.0,5.0,5,5.0
94,4Fansites,2,202873,101436.5,5.5,11,5.5
95,4S-TV,1,95738,95738.0,5.0,5,5.0
96,4baadimh01,2,4692086,2346043.0,5.5,24,12.0
97,4fun,1,1522358,1522358.0,4.0,4,4.0
98,5 Minuten Tricks SPIEL,1,1172808,1172808.0,6.0,6,6.0
99,5 News,4,663236,165809.0,5.25,21,5.25
100,5-Minute Crafts FAMILY,1,89075984,89075984.0,4.0,12,12.0
101,50 Cent,3,6154985,2051661.6666666667,6.666666666666667,41,13.666666666666666
102,51 Drones,1,233323,233323.0,4.0,4,4.0
103,58products,3,318311,106103.66666666667,4.0,12,4.0
104,5911 Records,3,41996834,13998944.666666666,5.666666666666667,27,9.0
105,5IVE GUYS FC,1,92234,92234.0,6.0,6,6.0
106,5SOS,9,7215757,801750.7777777778,5.555555555555555,84,9.333333333333334
107,5ZYL_Marco,79,16181182,204825.08860759492,4.113924050632911,335,4.2405063291139244
108,5starcaps,8,1574101,196762.625,5.625,45,5.625
109,60 Minutes,20,44142619,2207130.95,6.6,226,11.3
110,60 Minutes Australia,7,16406635,2343805.0,9.714285714285714,89,12.714285714285714
